bande_src;bande_dst;detecteur;delta_t
B03;B09;D06;-2.042274675
B03;B09;D07;2.026575227
B03;B09;D08;-2.04527174
B03;B09;D09;2.034916732
B03;B09;D10;-2.058830216
B03;B09;D11;2.055113633
B03;B09;D12;-2.085671479
B03;B10;D01;0.360142531
B03;B10;D02;-0.325343198
B03;B10;D03;0.352127523
B03;B10;D04;-0.323140281
B03;B10;D05;0.352611247
B03;B10;D06;-0.319397705
B03;B10;D07;0.352421363
B03;B10;D08;-0.321341708
B03;B10;D09;0.356406063
B03;B10;D10;-0.321527793
B03;B10;D11;0.359049096
B03;B10;D12;-0.325085601
B03;B11;D01;0.983702914
B03;B11;D02;-0.955991445
B03;B11;D03;0.969265639
B03;B11;D04;-0.947460037
B03;B11;D05;0.963887474
B03;B11;D06;-0.940687402
B03;B11;D07;0.962706563
B03;B11;D08;-0.941917761
B03;B11;D09;0.969132066
B03;B11;D10;-0.945348215
B03;B11;D11;0.978719023
B03;B11;D12;-0.95711821
B03;B12;D01;1.607862521
B03;B12;D02;-1.586300597
B03;B12;D03;1.585075262
B03;B12;D04;-1.570837659
B03;B12;D05;1.574496086
B03;B12;D06;-1.561105894
B03;B12;D07;1.572801884
B03;B12;D08;-1.562915613
B03;B12;D09;1.580946933
B03;B12;D10;-1.570459563
B03;B12;D11;1.596692729
B03;B12;D12;-1.591064661
B04;B01;D01;1.322050827
B04;B01;D02;-1.316474682
B04;B01;D03;1.304520201
B04;B01;D04;-1.303223662
B04;B01;D05;1.295729015
B04;B01;D06;-1.296404523
B04;B01;D07;1.293384867
B04;B01;D08;-1.298196424
B04;B01;D09;1.29875688
B04;B01;D10;-1.306966545
B04;B01;D11;1.311269437
B04;B01;D12;-1.324626973
B04;B02;D01;-1.00620511
B04;B02;D02;1.006933989
B04;B02;D03;-0.992861654
B04;B02;D04;0.996154729
B04;B02;D05;-0.985445078
B04;B02;D06;0.992088332
B04;B02;D07;-0.984183487
B04;B02;D08;0.992942266
B04;B02;D09;-0.988186671
B04;B02;D10;0.999128493
B04;B02;D11;-0.99771891
B04;B02;D12;1.012240746
B04;B03;D01;-0.481928405
B04;B03;D02;0.483843005
B04;B03;D03;-0.475118236
B04;B03;D04;0.478981984
B04;B03;D05;-0.471695863
B04;B03;D06;0.476782057
B04;B03;D07;-0.471394567
B04;B03;D08;0.477621539
B04;B03;D09;-0.472961965
B04;B03;D10;0.480423024
B04;B03;D11;-0.479147928
B04;B03;D12;0.486676144
B04;B05;D01;0.263356254
B04;B05;D02;-0.262718034
B04;B05;D03;0.259855308
B04;B05;D04;-0.259423077
B04;B05;D05;0.257974247
B04;B05;D06;-0.258979822
B04;B05;D07;0.257468356
B04;B05;D08;-0.258349601
B04;B05;D09;0.258467761
B04;B05;D10;-0.26038416
B04;B05;D11;0.261467408
B04;B05;D12;-0.263217318
B04;B06;D01;0.523972475
B04;B06;D02;-0.528425208
B04;B06;D03;0.51677915
B04;B06;D04;-0.522725814
B04;B06;D05;0.513156819
B04;B06;D06;-0.520257798
B04;B06;D07;0.512321738
B04;B06;D08;-0.520860398
B04;B06;D09;0.514611887
B04;B06;D10;-0.524210851
B04;B06;D11;0.519152316
B04;B06;D12;-0.530669978
B04;B07;D01;0.787484918
B04;B07;D02;-0.791813595
B04;B07;D03;0.776871206
B04;B07;D04;-0.78355321
B04;B07;D05;0.771206655
B04;B07;D06;-0.779335892
B04;B07;D07;0.770099991
B04;B07;D08;-0.78074719
B04;B07;D09;0.773448072
B04;B07;D10;-0.786293914
B04;B07;D11;0.781085358
B04;B07;D12;-0.79612168
B04;B08;D01;-0.744270028
B04;B08;D02;0.745886681
B04;B08;D03;-0.734029875
B04;B08;D04;0.738313044
B04;B08;D05;-0.728953782
B04;B08;D06;0.735173948
B04;B08;D07;-0.728085003
B04;B08;D08;0.73585699
B04;B08;D09;-0.730215791
B04;B08;D10;0.740410398
B04;B08;D11;-0.738247917
B04;B08;D12;0.750337199
B04;B8A;D01;1.047528062
B04;B8A;D02;-1.057348011
B04;B8A;D03;1.034021028
B04;B8A;D04;-1.046616127
B04;B8A;D05;1.026433495
B04;B8A;D06;-1.041475315
B04;B8A;D07;1.024595741
B04;B8A;D08;-1.043054874
B04;B8A;D09;1.028844124
B04;B8A;D10;-1.050145459
B04;B8A;D11;1.038772186
B04;B8A;D12;-1.063611621
B04;B09;D01;1.589592773
B04;B09;D02;-1.589812359
B04;B09;D03;1.56894242
B04;B09;D04;-1.5739172
B04;B09;D05;1.557958735
B04;B09;D06;-1.565489573
B04;B09;D07;1.555186091
B04;B09;D08;-1.567646924
B04;B09;D09;1.561959812
B04;B09;D10;-1.57841251
B04;B09;D11;1.575964112
B04;B09;D12;-1.599022198
B04;B10;D01;-0.121786276
B04;B10;D02;0.158495419
B04;B10;D03;-0.122987789
B04;B10;D04;0.155839437
B04;B10;D05;-0.119078028
B04;B10;D06;0.157384507
B04;B10;D07;-0.118963452
B04;B10;D08;0.156279919
B04;B10;D09;-0.116543973
B04;B10;D10;0.158896996
B04;B10;D11;-0.120084912
B04;B10;D12;0.161594384
B04;B11;D01;0.501770104
B04;B11;D02;-0.472159459
B04;B11;D03;0.494147507
B04;B11;D04;-0.468479496
B04;B11;D05;0.492193579
B04;B11;D06;-0.463903155
B04;B11;D07;0.491315122
B04;B11;D08;-0.464293874
B04;B11;D09;0.496173269
B04;B11;D10;-0.464924743
B04;B11;D11;0.499570644
B04;B11;D12;-0.470452911
B04;B12;D01;1.125921658
B04;B12;D02;-1.102474433
B04;B12;D03;1.109954159
B04;B12;D04;-1.091858325
B04;B12;D05;1.102802088
B04;B12;D06;-1.084321097
