bande_src;bande_dst;detecteur;delta_t
B04;B03;D09;-0.472877556
B04;B03;D10;0.482187543
B04;B03;D11;-0.479034207
B04;B03;D12;0.487365771
B04;B05;D01;0.264074677
B04;B05;D02;-0.262784353
B04;B05;D03;0.260747223
B04;B05;D04;-0.259916724
B04;B05;D05;0.258839404
B04;B05;D06;-0.258933831
B04;B05;D07;0.258474668
B04;B05;D08;-0.258873937
B04;B05;D09;0.25915664
B04;B05;D10;-0.260942249
B04;B05;D11;0.26038613
B04;B05;D12;-0.263435156
B04;B06;D01;0.524888256
B04;B06;D02;-0.529057729
B04;B06;D03;0.518179298
B04;B06;D04;-0.523862674
B04;B06;D05;0.514786934
B04;B06;D06;-0.520403446
B04;B06;D07;0.513040544
B04;B06;D08;-0.520689565
B04;B06;D09;0.514498182
B04;B06;D10;-0.524160476
B04;B06;D11;0.518787883
B04;B06;D12;-0.532379822
B04;B07;D01;0.788781858
B04;B07;D02;-0.792724797
B04;B07;D03;0.77801337
B04;B07;D04;-0.784966249
B04;B07;D05;0.772725867
B04;B07;D06;-0.780793893
B04;B07;D07;0.771954654
B04;B07;D08;-0.781009671
B04;B07;D09;0.774003485
B04;B07;D10;-0.786403656
B04;B07;D11;0.780619459
B04;B07;D12;-0.796684869
B04;B08;D01;-0.744988257
B04;B08;D02;0.747588167
B04;B08;D03;-0.735538163
B04;B08;D04;0.739916565
B04;B08;D05;-0.730518827
B04;B08;D06;0.736804428
B04;B08;D07;-0.728712876
B04;B08;D08;0.737193866
B04;B08;D09;-0.73161327
B04;B08;D10;0.7424968
B04;B08;D11;-0.739799431
B04;B08;D12;0.751116593
B04;B8A;D01;1.048766365
B04;B8A;D02;-1.059336331
B04;B8A;D03;1.034997766
B04;B8A;D04;-1.049025654
B04;B8A;D05;1.027782932
B04;B8A;D06;-1.04332158
B04;B8A;D07;1.02614308
B04;B8A;D08;-1.044647721
B04;B8A;D09;1.02895873
B04;B8A;D10;-1.051971478
B04;B8A;D11;1.03823113
B04;B8A;D12;-1.06576065
B04;B09;D01;1.589856701
B04;B09;D02;-1.592488948
B04;B09;D03;1.568924255
B04;B09;D04;-1.575441381
B04;B09;D05;1.557208567
B04;B09;D06;-1.568061252
B04;B09;D07;1.555532241
B04;B09;D08;-1.568500979
B04;B09;D09;1.562224478
B04;B09;D10;-1.580102079
B04;B09;D11;1.574670978
B04;B09;D12;-1.600582053
B04;B10;D01;-0.130468349
B04;B10;D02;0.152054317
B04;B10;D03;-0.126205844
B04;B10;D04;0.149037611
B04;B10;D05;-0.124228354
B04;B10;D06;0.15189949
B04;B10;D07;-0.124906628
B04;B10;D08;0.153368817
B04;B10;D09;-0.121535594
B04;B10;D10;0.154531871
B04;B10;D11;-0.126883137
B04;B10;D12;0.16044041
B04;B11;D01;0.494612311
B04;B11;D02;-0.4793578
B04;B11;D03;0.489701364
B04;B11;D04;-0.475868474
B04;B11;D05;0.487369226
B04;B11;D06;-0.469064624
B04;B11;D07;0.48580963
B04;B11;D08;-0.469603817
B04;B11;D09;0.490740209
